國家,ID,iso_code,洲名,日期,總確診數,新增確診數,七天移動平均新增確診數,總死亡數,新增死亡數,七天移動平均新增死亡數,每百萬人確診數,每百萬人死亡數,傳染率,新增檢驗件數,總檢驗件數,每千人檢驗件數,七天移動平均新增檢驗件數,陽性率,每確診案例相對檢驗數量,疫苗總接種總劑數,疫苗總接種人數,疫苗新增接種劑數,七天移動平均疫苗新增接種劑數,每百人接種疫苗劑數,每百人接種疫苗人數,疫情控管指數,總人口數,中位數年紀,70歲以上人口比例,平均壽命,解除隔離數,解封指數
台灣,163987,TWN,亞洲,2020-01-16,0,0,0.0,0,0,0.0,0.0,0.0,0.0,4,4,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,8.33,23855008,42.2,8.353,80.46,0,99999.0
台灣,163988,TWN,亞洲,2020-01-17,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,8.33,23855008,42.2,8.353,80.46,0,99999.0
台灣,163989,TWN,亞洲,2020-01-18,0,0,0.0,0,0,0.0,0.0,0.0,0.0,5,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,8.33,23855008,42.2,8.353,80.46,0,99999.0
台灣,163990,TWN,亞洲,2020-01-19,0,0,0.0,0,0,0.0,0.0,0.0,0.0,6,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,8.33,23855008,42.2,8.353,80.46,0,99999.0
台灣,163991,TWN,亞洲,2020-01-20,0,0,0.0,0,0,0.0,0.0,0.0,0.0,8,2,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,13.89,23855008,42.2,8.353,80.46,0,99999.0
台灣,163992,TWN,亞洲,2020-01-21,0,0,0.0,0,0,0.0,0.0,0.0,0.0,20,12,0.001,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,13.89,23855008,42.2,8.353,80.46,0,99999.0
台灣,163993,TWN,亞洲,2020-01-22,1,0,0.0,0,0,0.0,0.042,0.0,0.0,64,44,0.003,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,13.89,23855008,42.2,8.353,80.46,0,99999.0
台灣,163994,TWN,亞洲,2020-01-23,1,0,0.0,0,0,0.0,0.042,0.0,0.0,134,70,0.006,19.0,0.0,0.0,0,0,0,0.0,0.0,0.0,19.44,23855008,42.2,8.353,80.46,0,99999.0
台灣,163995,TWN,亞洲,2020-01-24,3,2,0.0,0,0,0.0,0.126,0.0,0.0,191,57,0.008,27.0,0.0,0.0,0,0,0,0.0,0.0,0.0,19.44,23855008,42.2,8.353,80.46,0,99999.0
台灣,163996,TWN,亞洲,2020-01-25,3,0,0.0,0,0,0.0,0.126,0.0,0.0,282,91,0.012,40.0,0.0,0.0,0,0,0,0.0,0.0,0.0,19.44,23855008,42.2,8.353,80.46,0,99999.0
台灣,163997,TWN,亞洲,2020-01-26,4,1,0.0,0,0,0.0,0.168,0.0,0.0,399,117,0.017,56.0,0.0,0.0,0,0,0,0.0,0.0,0.0,19.44,23855008,42.2,8.353,80.46,0,99999.0
